Gears Three Point
t_k, y_k, y_real
3.36,2.93046,2.93046
3.37,2.93115,2.93115
3.38,2.93184,2.93184
3.39,2.93252,2.93252
3.4,2.93319,2.93319
3.41,2.93385,2.93385
3.42,2.93451,2.93451
3.43,2.93516,2.93516
3.44,2.93581,2.93581
3.45,2.93645,2.93645
3.46,2.93708,2.93708
3.47,2.9377,2.9377
3.48,2.93832,2.93832
3.49,2.93894,2.93894
3.5,2.93954,2.93954
3.51,2.94015,2.94015
3.52,2.94074,2.94074
3.53,2.94133,2.94133
3.54,2.94192,2.94192
3.55,2.94249,2.94249
3.56,2.94307,2.94307
3.57,2.94363,2.94363
3.58,2.94419,2.94419
3.59,2.94475,2.94475
3.6,2.9453,2.9453
3.61,2.94584,2.94584
3.62,2.94638,2.94638
3.63,2.94691,2.94691
3.64,2.94744,2.94744
3.65,2.94797,2.94797
3.66,2.94848,2.94848
3.67,2.949,2.949
3.68,2.9495,2.9495
3.69,2.95001,2.95001
3.7,2.9505,2.9505
3.71,2.951,2.951
3.72,2.95148,2.95148
3.73,2.95197,2.95197
3.74,2.95244,2.95244
3.75,2.95292,2.95292
3.76,2.95339,2.95339
3.77,2.95385,2.95385
3.78,2.95431,2.95431
3.79,2.95476,2.95476
3.8,2.95521,2.95521
3.81,2.95566,2.95566
3.82,2.9561,2.9561
3.83,2.95654,2.95654
3.84,2.95697,2.95697
3.85,2.9574,2.9574
3.86,2.95782,2.95782
3.87,2.95824,2.95824
3.88,2.95866,2.95866
3.89,2.95907,2.95907
3.9,2.95948,2.95948
3.91,2.95988,2.95988
3.92,2.96028,2.96028
3.93,2.96067,2.96067
3.94,2.96106,2.96106
3.95,2.96145,2.96145
3.96,2.96184,2.96184
3.97,2.96222,2.96222
3.98,2.96259,2.96259
3.99,2.96296,2.96296
4,2.96333,2.96333
4.01,2.9637,2.9637
4.02,2.96406,2.96406
4.03,2.96442,2.96442
4.04,2.96477,2.96477
4.05,2.96512,2.96512
4.06,2.96547,2.96547
4.07,2.96581,2.96581
4.08,2.96615,2.96615
4.09,2.96649,2.96649
4.1,2.96682,2.96682
4.11,2.96715,2.96715
4.12,2.96748,2.96748
4.13,2.9678,2.9678
4.14,2.96812,2.96812
4.15,2.96844,2.96844
4.16,2.96875,2.96875
4.17,2.96906,2.96906
4.18,2.96937,2.96937
4.19,2.96968,2.96968
4.2,2.96998,2.96998
4.21,2.97028,2.97028
4.22,2.97057,2.97057
4.23,2.97087,2.97087
4.24,2.97116,2.97116
4.25,2.97144,2.97144
4.26,2.97173,2.97173
4.27,2.97201,2.97201
4.28,2.97229,2.97229
